Ano,Escola,Cidade,Horário da visita: ,Número de alunos: ,De quais os anos do ensino fundamental são os alunos visitantes?,Número de alunos do ensino fundamental,De quais os anos do ensino médio são os alunos visitantes?,Número de alunos do ensino medio
2025,E.M.RAUL SARAIVA RIBEIRO,Betim,Manhã e Tarde,,9º ano,90,Não levaremos estudantes do ensino médio,0
2025,ESCOLA ESTADUAL ANGELA MARIA DE OLIVEIRA,PARÁ DE MINAS,Manhã,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",40
2025,ESCOLA ESTADUAL FERNANDO OTAVIO,Pará de Minas,Manhã,,Não levaremos estudantes do ensino fundamental,0,2º ano,32
2025,ESCOLA ESTADUAL CORONEL FRANCISCO GAMA,LARANJAL,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,00,3º ano,55
2025,Escola Municipal Conceição Maria Moreira ,Pará de Minas ,Manhã,,"7º ano, 8º ano, 9º ano",40,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Dona Antônia Valadares ,São José da Varginha ,Manhã,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",40
2025,Escola Municipal Conceição Maria Moreira ,Pará de Minas,Manhã e Tarde,,"7º ano, 8º ano, 9º ano",40,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Professora Geralda Eugênia da Silva ,São Joaquim de Bicas,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,43
2025,"Escola Municipal ""Doutor Júlio Rodrigues Plácido""",Mateus Leme,Manhã e Tarde,,9º ano,60,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Jose Ataide de Almeida,Igaratinga,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,37
2025,Secretaria Municipal de Educação - (Centro de Referência do Professor),São Joaquim de Bicas,Manhã e Tarde,,9º ano,80,Não levaremos estudantes do ensino médio,0
2025,Colégio Educare ,"Betim, MG",Tarde,,9º ano,2,Não levaremos estudantes do ensino médio,0
2025,ESCOLA MUNICIPAL MANUEL ANTONIO DOS SANTOS,MARAVILHAS,Manhã,,9º ano,17,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Alípio Nogueira do Amaral ,Juatuba ,Manhã e Tarde,,9º ano,20,Não levaremos estudantes do ensino médio,0
2025,CEDAF,,,,,0,,540
