Ano,Escola,Cidade,Horário da visita: ,Número de alunos: ,De quais os anos do ensino fundamental são os alunos visitantes?,Número de alunos do ensino fundamental,De quais os anos do ensino médio são os alunos visitantes?,Número de alunos do ensino medio
2024,Escola Municipal Dom Bosco,Dom Bosco,Manhã,50,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Municipal Marechal Deodoro,Pará de Minas,Tarde,12,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,ESCOLA ESTADUAL VIRIATO MELGAÇO,PEQUI,Manhã e Tarde,35,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,ESCOLA MUNICIPAL CONCEIÇÃO MARIA MOREIRA,Pará de Minas,Manhã e Tarde,20,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Municipal Maria Renilda Ferreira , Juatuba ,Manhã,45,"7º ano, 8º ano, 9º ano",N/A,Não levaremos estudantes do ensino médio,N/A
2024,COLÉGIO TIRADENTES DA PMMG - UNIDADE BOM DESPACHO,Bom despacho,Manhã e Tarde,55,Não levaremos estudantes do ensino fundamental,N/A,2º ano,N/A
2024,E.E JOSÉ RIBEIRO DE ANDRADE,Pará de Minas,Manhã,14,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,Escola Municipal Maria Renilda Ferreira ,Juatuba,Manhã,45,"7º ano, 8º ano, 9º ano",N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Municipal Frei Rogato,Betim,Manhã,105,"8º ano, 9º ano",N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Estadual José Manoel,Araújos,Manhã e Tarde,50,Não levaremos estudantes do ensino fundamental,N/A,"2º ano, 3º ano",N/A
2024,Colégio Tiradentes da PMMG - Unidade de Bom Despacho,Bom despacho,Manhã,60,Não levaremos estudantes do ensino fundamental,N/A,2º ano,N/A
2024,COLEGIO APOGEU - PARÁ DE MINAS,Pará de Minas,Manhã,50,Não levaremos estudantes do ensino fundamental,N/A,"1º ano, 2º ano, 3º ano",N/A
2024,Escola Municipal Renata Mendes Lopes,Mateus Leme,Manhã e Tarde,112,"8º ano, 9º ano",N/A,Não levaremos estudantes do ensino médio,N/A
2024,ESCOLA MUNICIPAL MARIA CÂNDIDA DE JESUS,Juatuba,Manhã,43,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Estadual Santo Tomaz de Aquino,Divinópolis,Manhã e Tarde,90,9º ano,N/A,"1º ano, 2º ano, 3º ano",N/A
2024,E.E. GUSTAVO CAPANEMA,PITANGUI,Manhã,50,Não levaremos estudantes do ensino fundamental,N/A,"2º ano, 3º ano",N/A
2024,"Escola Municipal ""São Judas Tadeu""",Pará de Minas,Manhã e Tarde,10,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Estadual Padre Libério ,Pará de Minas,Manhã e Tarde,70,Não levaremos estudantes do ensino fundamental,N/A,"1º ano, 2º ano, 3º ano",N/A
2024,Escola Estadual Sarah Kubitschek ,Betim,Manhã,50,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,EE Leonardo Gonçalves Nogueira,Itaúna,Manhã,40,Não levaremos estudantes do ensino fundamental,N/A,"1º ano, 2º ano, 3º ano",N/A
2024,Escola Municipal Professora Izaltina Mendonça Meireles,Pará de MInas,Manhã e Tarde,24,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Municipal Padre Moacir Candido Rodrigues ,Juatuba,Manhã,60,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,ESCOLA ESTAÇÃO DO SABER,PARÁ DE MINAS,Tarde,13,Não levaremos estudantes do ensino fundamental,N/A,Não levaremos estudantes do ensino médio,N/A
2024,E M RAUL SARAIVA RIBEIRO,Betim,Manhã e Tarde,80,"7º ano, 8º ano, 9º ano",N/A,Não levaremos estudantes do ensino médio,N/A
2024,E.M. José Pires Montes ,Juatuba,Manhã,41,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,ESCOLA MUNICIPAL PADRE MOACIR CÂNDIDO RODRIGUES,Juatuba,Manhã,62,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Nilza Gomes Bergman ,Sarzedo,Manhã,50,Não levaremos estudantes do ensino fundamental,N/A,2º ano,N/A
2024,Escola Municipal Geraldo Jorge Meira ,Betim,Manhã e Tarde,56,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Municipal Miguel Rodrigues Duarte,Juatuba,Manhã,64,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola estadual Manoel Antônio de Sousa ,Mateus Leme,Manhã,17,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,Escola Estadual Joelma Alves de Oliveira ,Igarapé ,Manhã e Tarde,52,Não levaremos estudantes do ensino fundamental,N/A,"1º ano, 2º ano",N/A
2024,EE LEONARDO GONÇALVES NOGUEIRA ,Itaúna,Manhã e Tarde,50,Não levaremos estudantes do ensino fundamental,N/A,"1º ano, 2º ano, 3º ano",N/A
2024,Escola Maria Imaculada Martins Oliveira,Mateus Leme,Manhã e Tarde,215,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Estadual Maria Rita Duarte ,Juatuba,Manhã,40,"8º ano, 9º ano",N/A,"1º ano, 2º ano, 3º ano",N/A
2024,Escola Estadual Fernando Otávio ,Pará de Minas ,Manhã,125,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,"Escola Municipal ""Doutor Júlio Rodrigues Plácido""",Mateus Leme,Manhã e Tarde,47,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,ESCOLA MUNICIPAL ANTÔNIO D' ASSIS MARTINS,BETIM,Manhã,110,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,"Escola Municipal ""Regina Célia de Oliveira Costa""",Mateus Leme,Manhã,145,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,E.E. Hermenegildo Vilaça, Piracema,Manhã e Tarde,47,Não levaremos estudantes do ensino fundamental,N/A,"2º ano, 3º ano",N/A
2024,E.E. EMÍLIA CERDEIRA,BELO HORIZONTE,Manhã e Tarde,40,"8º ano, 9º ano",N/A,Não levaremos estudantes do ensino médio,N/A
2024,ESCOLA ESTADUAL SANTO TOMAZ DE AQUINO,DIVINÓPOLIS,Manhã e Tarde,90,"8º ano, 9º ano",N/A,"1º ano, 2º ano, 3º ano",N/A
2024,ESCOLA ESTADUAL MELO VIANA ,Bonfim,Manhã,40,Não levaremos estudantes do ensino fundamental,N/A,"2º ano, 3º ano",N/A
2024,Escola Estadual Angela Maria de Oliveira ,Pará de Minas ,Manhã e Tarde,40,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,Escola Municipal Dona Vina,Maravilhas,Manhã,30,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Municipal Manuel Antônio dos Santos ,Maravilhas,Manhã,13,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,E. M. Jose Antonio Junior,Sao Joaquim de Bicas,Manhã,40,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,"Escola Estadual ""Professor Augusto Lucas""",Esmeraldas,Manhã e Tarde,44,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,Escola Estadual Elias Salomão,Mateus Leme,Manhã,46,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,ESCOLA MUNICIPAL JUQUITA FIRMINO,JUATUBA,Manhã,40,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,SESI DR. CELSO CHARURI,Pará de Minas,Manhã e Tarde,09,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,Escola estadual Emília Cerdeira ,BELO HORIZONTE,Manhã e Tarde,25,9º ano,N/A,Não levaremos estudantes do ensino médio,N/A
2024,EE Professora Lourdes Bernadete,Betim,Manhã,25,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2024,CEDAF,Florestal,Manhã e Tarde,540,Não levaremos estudantes do ensino fundamental,N/A,3º ano,N/A
2025,EE. Monsenhor Morais,Mariana,Manhã e Tarde,,9º ano,18,"1º ano, 2º ano, 3º ano",59
2025,Escola Estadual Quintino Vargas,João Pinheiro,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,40
2025,E.E. HERMENEGILDO VILAÇA,PIRACEMA,Manhã,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",46
2025,ESCOLA ESTADUAL ZICO FERREIRA,PARÁ DE MINAS/MG,Manhã,,9º ano,10,"1º ano, 2º ano, 3º ano",30
2025,EE João Ramos Filho,Mariana ,Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,100
2025,Escola Estadual Napoleão Reis,LAMIM,Manhã,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",110
2025,ESCOLA ESTADUAL DENIZ VALE ,NOVA LIMA ,Manhã,,Não levaremos estudantes do ensino fundamental,0,1º ano,100
2025,Escola estadual Coronel Domingos diniz couto,santana de pirapama,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,76
2025,E E FRANCISCO FERREIRA MACIEL,PIRANGA MG,Manhã,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",40
2025,Colégio Tiradentes da PMMG Unidade de Bom Despacho,Bom Despacho,Manhã e Tarde,,9º ano,70,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Dona Antônia Valadares ,São José da Varginha ,Manhã,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",100
2025,EE SERAFIM RIBEIRO DE REZENDE ,FLORESTAL,Manhã e Tarde,,"8º ano, 9º ano",120,"1º ano, 2º ano, 3º ano",500
2025,ESCOLA ESTADUAL ANTÔNIO DE PAULA DIAS,PIRANGA,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,16
2025,Escola Estadual Francisco Dias ,Martinho Campos,Manhã,,Não levaremos estudantes do ensino fundamental,45,"1º ano, 2º ano, 3º ano",45
2025,Escola Estadual Coronel Amantino Maciel,Piranga ,Manhã,,"6º ano, 7º ano, 8º ano, 9º ano",40,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Antônio Augusto Ribeiro,Betim,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,43
2025,EE JOÃO FELIPE DA ROCHA,Nova Lima,Manhã,,9º ano,40,"1º ano, 2º ano, 3º ano",40
2025,Escola Estadual José Teotônio de Castro,Lagoa da Prata,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",40
